code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,General administrative overhead for ministry.
04.02,ראשות הממשלה,משרד ראש הממשלה,drop,Focuses on general government administration.
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,Focuses on national statistics collection.
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,General reserve fund.
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,Focuses on government press relations.
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,Focuses on support for evacuees.
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,General reserve fund.
04.08,שירותי דת,משרד ראש הממשלה,drop,Focuses on religious services.
04.09,רבנות ראשית,משרד ראש הממשלה,drop,Focuses on religious services.
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,Focuses on civil service administration.
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,Focuses on oversight of government companies.
04.15,נתיב,משרד ראש הממשלה,drop,Focuses on specific government agency activities.
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,Focuses on civil service administration.
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,drop,"Focuses on international cooperation, not energy."
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Focuses on regional development.
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,Focuses on regional development.
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,"Focuses on international cooperation, not energy."
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,General administrative overhead for ministry.
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,drop,Focuses on general government administration.
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,Focuses on national statistics collection.
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,drop,Focuses on religious services.
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,Focuses on civil service administration.
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,"Focuses on international cooperation, not energy."
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,Focuses on social equality.
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,drop,Focuses on specific government agency activities.
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,Focuses on civil service administration.
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,Focuses on settlement development.
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,drop,Focuses on religious services.
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Focuses on regional development.
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,Focuses on sector development.
04.70,רזרבות,משרד ראש הממשלה,ambiguous,General reserve fund.
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,Standard clearing account.
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,General administrative overhead for ministry.
05.02,שירותי מטה ממשלתיים,משרד האוצר,drop,Focuses on general government administration.
05.03,שירותי מטה כלל משקיים,משרד האוצר,drop,Focuses on general economic administration.
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,Focuses on income tax collection.
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,Focuses on customs and VAT collection.
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,drop,Focuses on government support services.
05.07,נציבות שירות המדינה,משרד האוצר,drop,Focuses on civil service administration.
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,General reserve fund.
05.09,רשות החברות הממשלתיות,משרד האוצר,drop,Focuses on oversight of government companies.
05.10,שירות עיבודים ממוכנים,משרד האוצר,drop,Focuses on IT services.
05.20,רשות המסים בישראל,משרד האוצר,drop,Focuses on tax collection.
05.51,משרד האוצר ראשי,משרד האוצר,ambiguous,General administrative overhead for ministry.
05.52,רשות המיסים,משרד האוצר,drop,Focuses on tax collection.
05.53,רזרבה למשרד האוצר,משרד האוצר,ambiguous,General reserve fund.
05.90,כיסוי גירעון המדפיס,משרד האוצר,drop,Focuses on specific financial operation.
05.99,חשבון מעבר,משרד האוצר,ambiguous,Standard clearing account.
26.01,תחום פעולה כללי,המשרד להגנת הסביבה,ambiguous,General administrative overhead for ministry.
26.02,רזרבה,משרד איכות הסביבה,ambiguous,General reserve fund.
26.03,פעילות יחידות המשרד,המשרד להגנת הסביבה,ambiguous,"General administrative, could contain relevant activities."
26.05,קרן הניקיון,המשרד להגנת הסביבה,keep,"Supports environmental cleanliness, related to green energy."
26.06,ים וחופים,המשרד להגנת הסביבה,drop,Focuses on marine and coastal environment.
26.07,השקעות מפעלי תעשיה,המשרד להגנת הסביבה,ambiguous,Industrial investments could include green technologies.
26.08,חומרים מסוכנים,המשרד להגנת הסביבה,drop,"Deals with hazardous materials, not green energy."
26.09,קשרים בינלאומיים,המשרד להגנת הסביבה,ambiguous,International relations may include climate cooperation.
26.10,השתתפות בארגונים,המשרד להגנת הסביבה,ambiguous,Participation in environmental organizations.
26.11,שכר ותפעול,המשרד להגנת הסביבה,ambiguous,General administrative overhead for ministry.
26.12,פעולות,המשרד להגנת הסביבה,ambiguous,"Generic activities, could include green energy."
26.13,קרנות,המשרד להגנת הסביבה,ambiguous,Funds may support environmental initiatives.
26.14,"פרוייקטים מקק""ל",המשרד להגנת הסביבה,ambiguous,KKL projects often have environmental focus.
26.26,רזרבות,המשרד להגנת הסביבה,ambiguous,General reserve fund.
26.97,צער בעלי חיים,המשרד להגנת הסביבה,drop,"Focuses on animal welfare, not green energy."
26.98,רזרבות,המשרד להגנת הסביבה,ambiguous,General reserve fund.
26.99,חשבון מעבר,המשרד להגנת הסביבה,ambiguous,Standard clearing account.
34.01,תחום פעולה כללי,משרד האנרגיה והמים,ambiguous,General administrative overhead for ministry.
34.02,מטה משרד התשתיות,משרד האנרגיה והמים,ambiguous,General administrative overhead for ministry.
