code,title,economic_class,reason
04.01.11.01,שיא כח אדם,שכר,Personnel cap row.
04.01.11.15,השתתפות גורמי חוץ,הכנסות מיועדות,Earmarked revenue.
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,העברות  פנים תקציביות,"Environmental protection, internal budgetary transfer."
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,קניות,Reserve for meeting expenditure target.
04.01.11.44,השתתפות ברשות הטבע והגנים,העברות  פנים תקציביות,"Environmental protection, internal budgetary transfer."
04.01.11.50,השתתפות ברשות הטבע והגנים,העברות  פנים תקציביות,"Environmental protection, internal budgetary transfer."
04.01.11.51,השתתפות המשרד להגנת הסביבה,העברות  פנים תקציביות,"Environmental protection, internal budgetary transfer."
04.01.11.55,מכירת שירותים למשרדי הממשלה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.11.56,רכישת שירותים ממשרדי הממשלה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.11.57,רזרבה להשתתפות בסעיף 54,קניות,Reserve for participation.
04.01.11.95,רזרבה להתייקרויות כללית,רזרבות,General price increase reserve.
04.01.12.07,רזרבה לתחזוקת הכותל,קניות,Reserve for Western Wall maintenance.
04.01.12.09,רזרבה לעמידה ביעד ההוצאה,קניות,Reserve for meeting expenditure target.
04.01.12.17,השתתפות מנהל מקרקעי ישראל - פיתוח מנהרות הכותל,הכנסות מיועדות,Earmarked revenue.
04.01.12.27,רזרבה לפרויקטים,קניות,Reserve for projects.
04.01.12.29,השתתפות מינהל מקרקעי ישראל - פיתוח שער המוגרבים,הכנסות מיועדות,Earmarked revenue.
04.01.12.31,רזרבה להשתתפויות,קניות,Reserve for participations.
04.01.12.32,השתתפות משרד ראש הממשלה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.12.60,רזרבה להתשתתפויות,קניות,Reserve for participations.
04.01.12.62,רזרבה לפעולות המשרד,קניות,Reserve for Ministry activities.
04.01.12.63,מרכזי צעירים,העברות,Internal budgetary transfer account.
04.01.12.95,רזרבה להתייקוריות כללית,רזרבות,General price increase reserve.
04.01.19.01,שיא כח אדם,שכר,Personnel cap row.
04.01.19.11,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue.
04.01.19.12,הכנסות ממכירת מכרזים,הכנסות מיועדות,Earmarked revenue.
04.01.19.19,הכנסה מההסתדרות הציונית,הכנסות מיועדות,Earmarked revenue.
04.01.19.34,שכר דירה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.19.35,שיא כח אדם,שכר,Personnel cap row.
04.01.19.39,עובדים לא משובצים - שיא כח אדם,שכר,Personnel cap row.
04.01.19.42,שכר דירה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.19.45,אחזקת רכב ממשלתי,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.19.54,השתתפות נציבות שירות המדינה בתחזוקה,העברות  פנים תקציביות,Internal budgetary transfer account.
04.01.19.55,הכנסות מתפעול,הכנסות מיועדות,Earmarked revenue.
04.51.10.12,השתתפות במשרדי הממשלה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
04.51.10.16,תכנית פיתוח יישובים בדואים בצפון,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
04.51.10.60,השתתפות משרדי הממשלה בפרויקטים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
04.51.10.61,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
04.51.10.62,השתתפות במשרד הביטחון - פרוייקט מרינה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
04.70.01.01,רזרבה להתיקרויות שכר,שכר,"General reserve, not specific to subject."
04.70.01.02,רזרבה ליעדים פיסקליים,קניות,"General reserve, not specific to subject."
04.70.01.03,רזרבה להתיקרויות העברות,העברות,"General reserve, not specific to subject."
04.70.01.10,רזרבה לפעולות בסעיף 04,קניות,"General reserve, not specific to subject."
04.70.01.11,איוש שיא כח אדם ללא ביצוע,שכר,"Personnel cap item, not actual spending."
04.70.01.12,איוש חודשי עבודה ללא ביצוע,שכר,"Personnel cap item, not actual spending."
04.70.01.13,"איוש שיא כוח אדם בחו""ל ללא ביצוע",שכר,"Personnel cap item, not actual spending."
04.70.01.14,עתודה להסכם קואליציוני 2019,קניות,"General reserve, not specific to subject."
04.70.01.15,חרבות ברזל,קניות,"General reserve, not specific to subject."
04.99.99.99,חשבון מעבר,חשבונות מעבר,"Clearing account, not actual spending."
05.01.01.01,שיא כח אדם,שכר,"Personnel cap item, not actual spending."
05.01.01.19,"השתתפות מטה חשכ""ל בביקורת",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.26,העסקת מתמחים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.30,"השתתפות משרד התמ""ת",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.34,השתתפות משרד התיירות,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.67,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.68,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.70,"רזרבת מנכ""ל",קניות,"General reserve, not specific to subject."
05.01.01.76,השתתפות רשות המיסים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.81,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.01.82,השתתפות משרד החינוך,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.83,השתתפות במשרד הפנים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.84,השתתפות משרדי ממשלה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.85,"שיא כח אדם - לשכת סמנכ""ל",שכר,"Personnel cap item, not actual spending."
05.01.01.86,רזרבת מנכל לכא,שכר,"General reserve, not specific to subject."
05.01.01.91,"טיפול בשליחי מ""ה",העברות,"General transfer, not specific to subject."
05.01.01.92,"השתתפות מ""ה",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.01.95,רזרבה להתיקרויות כללית,רזרבות,"General reserve, not specific to subject."
